Country,State,City,Station,Last Update,Latitude,Longitude,Pollutant Id,Pollutant Min,Pollutant Max,Pollutant Avg
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",27-11-2025 18:00,23.618183,87.105718,PM2.5,40,304,177
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",27-11-2025 18:00,23.616515,87.119133,NO2,16,46,28
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",27-11-2025 18:00,23.616515,87.119133,OZONE,17,69,57
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",27-11-2025 18:00,22.7605581,88.3617589,SO2,8,11,9
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",27-11-2025 18:00,23.567923,87.306843,PM10,63,169,123
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",27-11-2025 18:00,23.567923,87.306843,NO2,8,73,28
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",27-11-2025 18:00,23.567923,87.306843,CO,30,94,41
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",27-11-2025 18:00,23.508764,87.35444,CO,27,80,35
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)",27-11-2025 18:00,23.549395,87.300496,PM10,37,160,114
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)",27-11-2025 18:00,23.549395,87.300496,NH3,1,2,2
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)",27-11-2025 18:00,23.549395,87.300496,SO2,2,92,31
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",27-11-2025 18:00,22.06047,88.109737,SO2,13,17,14
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",27-11-2025 18:00,22.629801,88.352017,PM2.5,72,343,264
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",27-11-2025 18:00,22.629801,88.352017,NO2,21,50,32
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",27-11-2025 18:00,22.629801,88.352017,OZONE,9,39,32
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",27-11-2025 18:00,22.554954,88.292568,NH3,3,5,4
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",27-11-2025 18:00,22.6025571,88.3105664,NO2,13,109,59
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",27-11-2025 18:00,22.6025571,88.3105664,NH3,1,2,2
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",27-11-2025 18:00,22.611968,88.347422,SO2,2,13,6
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",27-11-2025 18:00,22.5687319,88.2797276,NH3,2,2,2
